                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.72669,                0.56734,                 1.0143,                0.86031,                0.84838,                0.90579,                0.72511,                   0.68,                 0.4918,                0.96402,             0.00060847,             0.00060847,             0.00060847
                     61,                 0.7336,                0.55478,                 1.0136,                0.87106,                0.84174,                0.91396,                0.72637,                0.70369,                0.47993,                0.97683,             0.00059432,             0.00059432,             0.00059432
                     62,                0.74204,                0.58544,                 1.0155,                0.85531,                0.86053,                0.90319,                0.72563,                0.67389,                0.48894,                0.96888,             0.00058017,             0.00058017,             0.00058017
                     63,                 0.7337,                0.56483,                 1.0092,                0.89655,                0.84073,                0.91192,                 0.7306,                 0.6554,                0.46862,                0.95877,             0.00056603,             0.00056603,             0.00056603
                     64,                0.72642,                0.54681,                 1.0048,                0.90742,                0.83036,                0.90687,                0.73084,                0.66859,                0.46372,                0.96329,             0.00055188,             0.00055188,             0.00055188
                     65,                0.72521,                0.55041,                 1.0087,                0.90278,                0.83675,                0.91495,                0.73658,                0.68814,                0.47517,                0.96975,             0.00053773,             0.00053773,             0.00053773
                     66,                0.71304,                0.54413,                 1.0045,                0.89857,                 0.8378,                 0.9039,                0.73496,                0.64945,                0.46819,                0.95517,             0.00052359,             0.00052359,             0.00052359
                     67,                0.71453,                0.54216,                0.99827,                0.88873,                0.84196,                0.90317,                0.73074,                0.66893,                0.46292,                0.95958,             0.00050944,             0.00050944,             0.00050944
                     68,                0.70612,                0.52972,                0.99789,                0.86692,                0.85707,                0.90518,                0.73412,                0.66191,                 0.4785,                0.95562,             0.00049529,             0.00049529,             0.00049529
                     69,                0.71614,                0.53608,                 1.0053,                0.90659,                0.83092,                0.91212,                0.73496,                0.65335,                0.46344,                0.95444,             0.00048114,             0.00048114,             0.00048114
                     70,                0.69909,                0.51897,                0.99186,                0.88663,                0.85904,                0.91041,                0.73793,                0.64912,                0.48088,                0.95644,               0.000467,               0.000467,               0.000467
