                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.2583,                  1.037,                 1.3312,                0.76622,                0.68707,                0.75497,                0.44848,                 1.4466,                 1.1216,                 1.4388,             0.00056128,             0.00056128,             0.00056128
                     70,                 1.2521,                 1.0303,                 1.3267,                0.77833,                0.68496,                0.75956,                0.45102,                 1.4445,                  1.116,                 1.4406,             0.00054478,             0.00054478,             0.00054478
                     71,                 1.2569,                 1.0301,                 1.3239,                0.76308,                0.69666,                0.76126,                0.45288,                 1.4464,                 1.1027,                 1.4369,             0.00052827,             0.00052827,             0.00052827
                     72,                  1.265,                 1.0366,                 1.3306,                0.76987,                0.70615,                0.76011,                0.45128,                 1.4412,                 1.1134,                 1.4388,             0.00051177,             0.00051177,             0.00051177
                     73,                 1.2479,                 1.0151,                 1.3145,                0.76876,                0.70024,                0.75933,                0.45319,                 1.4444,                 1.1159,                 1.4356,             0.00049527,             0.00049527,             0.00049527
                     74,                 1.2428,                 1.0157,                 1.3176,                0.77251,                0.70143,                0.76077,                0.45418,                 1.4423,                 1.1055,                 1.4323,             0.00047876,             0.00047876,             0.00047876
                     75,                  1.249,                  1.022,                 1.3193,                0.77046,                0.69486,                0.75817,                0.44984,                 1.4435,                 1.1133,                 1.4354,             0.00046226,             0.00046226,             0.00046226
                     76,                 1.2314,                0.99733,                 1.3076,                 0.7769,                0.70347,                0.76705,                0.45581,                  1.443,                 1.1004,                  1.439,             0.00044576,             0.00044576,             0.00044576
                     77,                 1.2405,                0.99992,                 1.3142,                 0.7457,                0.71025,                0.75856,                0.45101,                 1.4503,                 1.1105,                 1.4374,             0.00042925,             0.00042925,             0.00042925
                     78,                 1.2331,                 1.0029,                 1.3134,                0.76616,                 0.7027,                0.76027,                0.45289,                 1.4486,                 1.0978,                 1.4405,             0.00041275,             0.00041275,             0.00041275
                     79,                 1.2259,                0.99359,                 1.3093,                0.77238,                0.69859,                0.76066,                0.45414,                 1.4434,                 1.1132,                  1.437,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.2316,                0.98749,                 1.3074,                0.77239,                0.70055,                0.75871,                0.45153,                 1.4505,                 1.1104,                  1.444,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.2233,                0.97681,                 1.3046,                0.76989,                0.69902,                 0.7612,                0.45346,                 1.4464,                 1.1138,                 1.4426,             0.00036324,             0.00036324,             0.00036324
                     82,                 1.2228,                0.96685,                 1.2971,                0.76541,                0.70005,                0.75985,                0.45206,                 1.4485,                 1.1117,                 1.4376,             0.00034674,             0.00034674,             0.00034674
