                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.3692,                 1.1401,                  1.327,                 0.3637,                0.45961,                0.29765,                 0.1762,                 1.4002,                 1.9612,                 1.4047,               0.003862,               0.003862,               0.003862
                     64,                 1.3622,                 1.1265,                 1.3274,                0.38078,                0.45146,                0.30099,                0.17728,                 1.4053,                 1.9993,                  1.409,               0.003763,               0.003763,               0.003763
                     65,                 1.3655,                 1.1293,                 1.3254,                0.38852,                0.45168,                0.30946,                0.18241,                 1.4039,                 1.9676,                 1.4064,               0.003664,               0.003664,               0.003664
                     66,                 1.3436,                 1.1036,                 1.3176,                0.38011,                0.46417,                0.30984,                0.18218,                 1.4062,                 1.9544,                 1.4107,               0.003565,               0.003565,               0.003565
                     67,                 1.3517,                 1.1122,                 1.3253,                0.38287,                0.45549,                0.30409,                0.17891,                 1.4113,                 1.9738,                 1.4089,               0.003466,               0.003466,               0.003466
                     68,                  1.344,                 1.1066,                 1.3159,                0.38512,                0.46373,                0.31163,                0.18277,                 1.4205,                 1.9488,                 1.4166,               0.003367,               0.003367,               0.003367
                     69,                 1.3471,                 1.0993,                 1.3162,                0.36322,                0.46351,                0.29733,                0.17409,                 1.4202,                 2.0102,                 1.4174,               0.003268,               0.003268,               0.003268
                     70,                 1.3442,                  1.106,                 1.3186,                0.36732,                0.46395,                0.30334,                0.17895,                 1.4143,                 1.9779,                 1.4091,               0.003169,               0.003169,               0.003169
                     71,                 1.3476,                 1.0929,                 1.3095,                0.38313,                 0.4519,                0.30668,                0.18183,                 1.4095,                 1.9703,                 1.4096,                0.00307,                0.00307,                0.00307
                     72,                 1.3349,                   1.08,                 1.3089,                0.38197,                0.45168,                0.30502,                0.18046,                 1.4165,                 1.9782,                 1.4094,               0.002971,               0.002971,               0.002971
                     73,                 1.3229,                 1.0763,                 1.3032,                0.37708,                0.46008,                0.30228,                0.17821,                 1.4122,                 1.9747,                 1.4104,               0.002872,               0.002872,               0.002872
                     74,                 1.3282,                 1.0744,                 1.3038,                0.37264,                0.47425,                0.30184,                  0.177,                 1.4118,                 1.9826,                 1.4096,               0.002773,               0.002773,               0.002773
                     75,                  1.323,                  1.063,                 1.2992,                0.37382,                0.46965,                0.30021,                0.17617,                 1.4097,                 1.9989,                 1.4097,               0.002674,               0.002674,               0.002674
                     76,                 1.3094,                 1.0574,                 1.2965,                0.37739,                0.46263,                0.30106,                0.17618,                 1.4224,                 1.9927,                 1.4162,               0.002575,               0.002575,               0.002575
                     77,                   1.32,                 1.0583,                 1.2966,                0.38165,                0.46526,                0.30081,                0.17569,                 1.4273,                 1.9761,                 1.4225,               0.002476,               0.002476,               0.002476
                     78,                 1.3125,                 1.0449,                 1.2944,                0.38374,                0.47228,                0.30869,                0.18042,                  1.419,                 1.9564,                 1.4174,               0.002377,               0.002377,               0.002377
                     79,                 1.3185,                 1.0443,                 1.2963,                0.38232,                0.46921,                0.30955,                0.18246,                 1.4244,                 1.9764,                 1.4202,               0.002278,               0.002278,               0.002278
                     80,                  1.309,                 1.0394,                 1.2899,                0.38774,                0.46921,                0.31303,                0.18399,                 1.4214,                 1.9677,                 1.4169,               0.002179,               0.002179,               0.002179
